Liferay Portal Workflow Lang
Liferay Portal Security SSO Token API,OSGi System Bundle
Liferay Commerce User Segment Item Selector API,Liferay Item Selector API
Liferay Knowledge Base Markdown Converter API,Liferay Knowledge Base Markdown Converter API
Liferay Social Bookmarks Analytics,OSGi System Bundle
Liferay Portlet Configuration Icon Edit Guest,OSGi System Bundle
Liferay Frontend Theme Favicon Servlet,OSGi System Bundle
Liferay External Reference API,OSGi System Bundle
Liferay Portal Instance Lifecycle API,OSGi System Bundle
Liferay Analytics API,Liferay Analytics API
Stax2 API,OSGi System Bundle
Liferay Blog Apio API,Liferay Apio Architect API
Liferay Frontend CSS Web,OSGi System Bundle
Liferay Media Object Apio API,Liferay Apio Architect API
Woodstox XML-processor,OSGi System Bundle
Expression Language 3.0,Expression Language 3.0
Liferay XStream Configurator API,OSGi System Bundle
Liferay Category Apio API,Liferay Apio Architect API
Liferay Journal Editor Configuration,OSGi System Bundle
Liferay Portal Template Soy API,OSGi System Bundle
Liferay Portal LPKG Deployer API,OSGi System Bundle
Liferay Staging API,OSGi System Bundle
Liferay Portal Custom JSP Bag API,OSGi System Bundle
Liferay Site Apio API,Liferay Apio Architect API
Liferay Document Library Analytics,OSGi System Bundle
Liferay Asset Display Implementation,Liferay Asset Display API
Liferay Portal Security Export Import API,OSGi System Bundle
Liferay Portal URL Builder API,OSGi System Bundle
Liferay Portal Init Servlet Filter,OSGi System Bundle
Liferay Ratings Analytics,OSGi System Bundle
Liferay Portal Upgrade API,OSGi System Bundle
Liferay Commerce Lang,OSGi System Bundle
Liferay Asset Display Page Item Selector API,Liferay Item Selector API
Liferay Asset Web,OSGi System Bundle
Liferay Users Admin Item Selector API,Liferay Item Selector API
Liferay Upload API,OSGi System Bundle
Liferay Portlet Configuration Icon Refresh,OSGi System Bundle
Liferay Hello Soy Navigation Web,OSGi System Bundle
Liferay Portlet Configuration Icon Maximize,OSGi System Bundle
Liferay Knowledge Base Item Selector API,Liferay Item Selector API
Liferay Portlet Configuration Icon Edit,OSGi System Bundle
Liferay Portal Workflow API,OSGi System Bundle
Liferay Journal Item Selector API,Liferay Item Selector API
Liferay Comment Analytics,OSGi System Bundle
org.osgi:org.osgi.util.promise,Apache Felix Declarative Services
Liferay Product Navigation Control Menu Theme Contributor,OSGi System Bundle
Liferay Portlet Configuration Icon Close,OSGi System Bundle
Liferay Frontend Editor Lang,OSGi System Bundle
Liferay Frontend JS Loader Modules Extender API,OSGi System Bundle
Liferay Portal Security Audit Event Generators API,OSGi System Bundle
Liferay Portal OSGi Web WAB Spring Bridge API,OSGi System Bundle
Liferay Portal Scripting API,OSGi System Bundle
Liferay Comment Sanitizer,OSGi System Bundle
Apache Felix File Install,OSGi System Bundle
Liferay Portlet Configuration Icon Edit Defaults,OSGi System Bundle
Liferay Message Boards Parser BBCode,OSGi System Bundle
Liferay Portlet Configuration Icon Locator Implementation,OSGi System Bundle
Liferay Portal POP Notifications,OSGi System Bundle
Liferay Layout API,OSGi System Bundle
Apache Felix Dependency Manager Shell,Apache Felix Gogo Runtime,OSGi System Bundle
Liferay Product Navigation User Personal Bar Web,OSGi System Bundle,Liferay Application List API
Liferay Dynamic Data Mapping Form Builder,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Dynamic Data Mapping Expression,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Dynamic Data Mapping Type Date,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Login Authentication Google Web,OSGi System Bundle,Liferay Portal Security SSO Google API
Liferay Portal Configuration Cluster,OSGi System Bundle,Liferay Portal Configuration Persistence API
Liferay Frontend Taglib Chart Sample Web,OSGi System Bundle,Liferay Frontend Taglib Chart
Liferay Document Library Content API,OSGi System Bundle,Liferay Document Library Content API
Liferay Frontend Taglib Clay Sample Web,OSGi System Bundle,Liferay Frontend Taglib Clay
Liferay Weather Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Adaptive Media API,Liferay Adaptive Media API,OSGi System Bundle
Liferay Document Library Repository External API,OSGi System Bundle,Liferay Document Library Repository External API
Apache Aries JAX-RS Specification API,OSGi System Bundle,Apache Aries JAX-RS Specification API
Liferay Social Bookmark Plusone,OSGi System Bundle,Liferay Social Bookmarks API
Liferay Portal Security SSO Facebook Connect Implementation,OSGi System Bundle,Liferay Portal Security SSO Facebook Connect API
Liferay Portal Configuration Persistence API,Apache Felix Configuration Admin Service,OSGi System Bundle
Liferay Frontend Taglib Utilities,OSGi System Bundle,Liferay Frontend JS Loader Modules Extender API
Liferay Social Requests Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay YouTube Web,OSGi System Bundle,Liferay Portal Upgrade API
Liferay Layout Type Controller Full Page Application,OSGi System Bundle,Liferay Util Taglib
Liferay Portal Security Audit Storage API,OSGi System Bundle,Liferay Portal Security Audit Storage API
Liferay Portal Configuration Settings,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay Dynamic Data Mapping Data Provider Implementation,Liferay Dynamic Data Mapping API,OSGi System Bundle
Liferay Frontend JS Minifier,OSGi System Bundle,Liferay Portal Configuration Metatype API
Liferay OAuth2 Provider Scope Liferay API,OSGi System Bundle,Liferay OAuth2 Provider Scope SPI
Liferay RSS API,OSGi System Bundle,Liferay RSS API
Liferay Roles UAD,OSGi System Bundle,Liferay User Associated Data API
Liferay Site Teams UAD,OSGi System Bundle,Liferay User Associated Data API
Liferay Document Library UAD,OSGi System Bundle,Liferay User Associated Data API
Liferay Site Navigation API,OSGi System Bundle,Liferay Site Navigation API
