Apache ServiceMix :: Specs :: Annotation API 1.3
Liferay Map Common
Liferay Asset Tags Navigation API
Liferay Frontend Theme Styled
Liferay Site Navigation Menu Item API
Liferay Frontend CSS Common
Liferay Frontend JS Polyfill Babel Web
Liferay Product Navigation Simulation API
Liferay Dynamic Data Mapping Lang
Liferay Petra IO Delta
Liferay Asset Tags API
Commons IO
Liferay Site Navigation Lang
Liferay Wiki Engine Lang
Liferay Portal Scripting Groovy Context API
Liferay Social User Statistics API
Liferay Portal Mobile Device Detection FiftyOneDegrees API
Liferay Staging Lang
Liferay Frontend JS Metal Web
Liferay Roles Admin API
Liferay Frontend Editor API
Liferay OAuth2 Provider Scope SPI
Liferay Frontend JS Node Shims
Liferay User Groups Admin API
Liferay Portal Workflow Lang
Liferay Portal Bundle Blacklist API
Liferay Portal OSGi Web Jasper Plugins Taglib
Liferay Frontend JS AUI Web
OSGi System Bundle
Liferay Social Activities API
Liferay Meris API
Liferay Portal Settings Lang
Liferay Adaptive Media Image JS Web
Liferay Ratings API
Liferay Blogs Recent Bloggers API
Liferay Portal OSGi Web WAB Generator API
Liferay Frontend Theme Unstyled
Liferay Portal Target Platform Indexer API
Liferay Site Navigation Admin API
Liferay Asset Categories Navigation API
Liferay Portal OSGi Debug API
Liferay OAuth2 Provider Scope API
Liferay Portal Spring Extender API
Liferay Portal Output Stream Container API
Liferay Password Policies Admin API
Liferay Layout Admin API
Liferay Portal Portlet Bridge Soy API
Liferay Journal Lang
Liferay Site Navigation Language API
JSR 353 (JSON Processing) API
Liferay Product Navigation Simulation Theme Contributor
Liferay Announcements API
Liferay Reading Time Editor Plugin
Liferay Portal Component Blacklist API
Liferay Portal Remote JAXRS Whiteboard JAXB JSON
org.osgi:org.osgi.util.function
Liferay Layout Set Prototype API
Liferay Layout Prototype API
Liferay Portal Executor,OSGi System Bundle
Liferay Portal URL Builder API,OSGi System Bundle
Liferay Journal Content Asset Addon Entry API,OSGi System Bundle
Liferay XStream Configurator API,OSGi System Bundle
Liferay Portal Custom JSP Bag API,OSGi System Bundle
Liferay Portlet Configuration Icon Maximize,OSGi System Bundle
Liferay Frontend Theme Favicon Servlet,OSGi System Bundle
Liferay Asset Display Implementation,Liferay Asset Display API
Liferay Portlet Configuration Icon Edit Defaults,OSGi System Bundle
Expression Language 3.0,Expression Language 3.0
Liferay Product Navigation Product Menu Theme Contributor,OSGi System Bundle
Liferay Portlet Configuration Icon Edit Guest,OSGi System Bundle
Liferay Comment Analytics,OSGi System Bundle
Liferay Staging Portlet Data Handler,OSGi System Bundle
Liferay Portal Init Servlet Filter,OSGi System Bundle
Liferay Commerce Admin API,OSGi System Bundle
Liferay Organizations Item Selector API,Liferay Item Selector API
Liferay Frontend CSS Web,OSGi System Bundle
Liferay External Reference API,OSGi System Bundle
Liferay Layout Apio API,Liferay Apio Architect API
Liferay Portal DAO ORM Custom SQL API,OSGi System Bundle
Liferay Commerce Health Status API,OSGi System Bundle
Liferay Commerce Product Item Selector API,Liferay Item Selector API
Liferay Map API,OSGi System Bundle
Liferay Portal Configuration Extender,OSGi System Bundle
Liferay Upload API,OSGi System Bundle
Liferay Configuration Admin API,OSGi System Bundle
Liferay Portal Weblogic Support,OSGi System Bundle
Liferay Text Localizer Address API,OSGi System Bundle
Liferay Hello Soy Navigation Web,OSGi System Bundle
Liferay Person Apio API,Liferay Apio Architect API
Liferay Portal JMX API,OSGi System Bundle
Liferay Portal Settings API,OSGi System Bundle
Liferay Portal Instance Lifecycle API,OSGi System Bundle
Liferay OSGi Felix File Install Configuration Cleaner,OSGi System Bundle
