Name: Liferay Frontend Editor Lang (1) {OSGi System Bundle, }
Name: Liferay Social Bookmarks Analytics (1) {OSGi System Bundle, }
Name: Liferay Portal URL Builder API (1) {OSGi System Bundle, }
Name: Liferay Portal Social Activity Extender (1) {OSGi System Bundle, }
Name: Liferay Portal Template Soy API (1) {OSGi System Bundle, }
Name: Liferay Portal LPKG Deployer API (1) {OSGi System Bundle, }
Name: Liferay Portal Relationship API (1) {OSGi System Bundle, }
Name: Liferay Blog Apio API (1) {Liferay Apio Architect API, }
Name: Woodstox XML-processor (1) {OSGi System Bundle, }
Name: Liferay Portal Weblogic Support (1) {OSGi System Bundle, }
Name: Liferay Document Library Repository Search (1) {OSGi System Bundle, }
Name: Liferay Portal Instances API (1) {OSGi System Bundle, }
Name: Liferay Staging Portlet Data Handler (1) {OSGi System Bundle, }
Name: Liferay Layout Apio API (1) {Liferay Apio Architect API, }
Name: Liferay Frontend Image Editor API (1) {OSGi System Bundle, }
Name: Liferay Site Navigation Item Selector API (1) {Liferay Item Selector API, }
Name: org.osgi:org.osgi.service.metatype (1) {OSGi System Bundle, }
Name: Liferay Site Apio API (1) {Liferay Apio Architect API, }
Name: Liferay Portlet Configuration Icon Maximize (1) {OSGi System Bundle, }
Name: Liferay Petra Doulos (1) {OSGi System Bundle, }
Name: Liferay Portal Instance Lifecycle API (1) {OSGi System Bundle, }
Name: Liferay Portlet Configuration Icon Edit Defaults (1) {OSGi System Bundle, }
Name: Liferay Portal Configuration Upgrade API (1) {OSGi System Bundle, }
Name: Liferay Category Apio API (1) {Liferay Apio Architect API, }
Name: Liferay Portal Security Audit Event Generators API (1) {OSGi System Bundle, }
Name: Liferay Organizations Item Selector API (1) {Liferay Item Selector API, }
Name: Liferay Portal JMX API (1) {OSGi System Bundle, }
Name: Liferay Staging API (1) {OSGi System Bundle, }
Name: Liferay Web Page Element Apio API (1) {Liferay Apio Architect API, }
Name: Liferay Announcements Editor Configuration (1) {OSGi System Bundle, }
Name: Liferay Comment Editor Configuration (1) {OSGi System Bundle, }
Name: Liferay Adaptive Media Image Item Selector API (1) {Liferay Item Selector API, }
Name: Liferay Layout API (1) {OSGi System Bundle, }
Name: Liferay Commerce Organization API (1) {OSGi System Bundle, }
Name: Liferay Portal Executor (1) {OSGi System Bundle, }
Name: Liferay Portal Scripting Implementation (1) {OSGi System Bundle, }
Name: Liferay Portal Scripting API (1) {OSGi System Bundle, }
Name: Liferay Asset Display API (1) {OSGi System Bundle, }
Name: Liferay Commerce User API (1) {OSGi System Bundle, }
Name: Liferay Portal Workflow API (1) {OSGi System Bundle, }
Name: Liferay Portal Template Soy Context Contributor (1) {OSGi System Bundle, }
Name: Liferay Comment Sanitizer (1) {OSGi System Bundle, }
Name: Liferay Vocabulary Apio API (1) {Liferay Apio Architect API, }
Name: Liferay Asset Web (1) {OSGi System Bundle, }
Name: Liferay Asset Display Implementation (1) {Liferay Asset Display API, }
Name: Liferay Folder Apio API (1) {Liferay Apio Architect API, }
Name: Liferay ImageIO Plugins (1) {OSGi System Bundle, }
Name: Liferay Map API (1) {OSGi System Bundle, }
Name: Liferay Portlet Configuration Icon Print (1) {OSGi System Bundle, }
Name: Liferay Portlet Configuration Icon Edit Guest (1) {OSGi System Bundle, }
Name: Liferay Commerce Admin API (1) {OSGi System Bundle, }
Name: Liferay Staging Security (1) {OSGi System Bundle, }
Name: Liferay Portal Security Audit Implementation (1) {OSGi System Bundle, }
Name: Liferay Portal DAO ORM Custom SQL API (1) {OSGi System Bundle, }
Name: Liferay XStream Configurator API (1) {OSGi System Bundle, }
Name: Liferay Blogs Item Selector API (1) {Liferay Item Selector API, }
Name: Liferay Portlet Configuration Icon Help (1) {OSGi System Bundle, }
Name: Liferay Asset Publisher API (1) {OSGi System Bundle, }
Name: Liferay Social Bookmarks API (1) {OSGi System Bundle, }
Name: Liferay Portal Background Task Web (1) {OSGi System Bundle, }
Name: Liferay Frontend JS Loader Modules Extender API (1) {OSGi System Bundle, }
Name: Liferay Users Admin Item Selector API (1) {Liferay Item Selector API, }
Name: Apache Felix File Install (1) {OSGi System Bundle, }
Name: Liferay Petra JSON Web Service Client (1) {OSGi System Bundle, }
Name: Liferay Journal Item Selector API (1) {Liferay Item Selector API, }
Name: Liferay Asset API (1) {OSGi System Bundle, }
Name: Liferay Portal Security SSO Token API (1) {OSGi System Bundle, }
Name: Liferay Journal Content Asset Addon Entry API (1) {OSGi System Bundle, }
Name: Liferay Comment API (1) {Liferay Message Boards API, }
Name: Liferay Portal Init Servlet Filter (1) {OSGi System Bundle, }
Name: Liferay Portal Configuration Extender (1) {OSGi System Bundle, }
Name: Liferay Commerce Lang (1) {OSGi System Bundle, }
Name: Liferay Portal Remote SOAP Extender API (1) {OSGi System Bundle, }
Name: org.osgi:org.osgi.util.promise (1) {Apache Felix Declarative Services, }
Name: Liferay Ratings Analytics (1) {OSGi System Bundle, }
Name: Liferay Portal Language Extender (1) {OSGi System Bundle, }
Name: Liferay Commerce Product Item Selector API (1) {Liferay Item Selector API, }
Name: Liferay Portal Security Export Import API (1) {OSGi System Bundle, }
Name: Liferay Analytics API (1) {Liferay Analytics API, }
Name: Liferay Asset Tags Compiler Web (2) {OSGi System Bundle, Liferay Portal Upgrade API, }
Name: Liferay Dynamic Data Mapping Type Checkbox Multiple (2) {OSGi System Bundle, Liferay Dynamic Data Mapping API, }
Name: Liferay Portal Configuration Settings (2) {OSGi System Bundle, Liferay Portal Configuration Metatype API, }
Name: Liferay Portal Security Audit Storage API (2) {Liferay Portal Security Audit Storage API, OSGi System Bundle, }
Name: Liferay Google Maps Web (2) {OSGi System Bundle, Liferay Portal Upgrade API, }
Name: Liferay Push Notifications API (2) {OSGi System Bundle, Liferay Push Notifications API, }
Name: Liferay Item Selector Criteria API (2) {OSGi System Bundle, Liferay Item Selector API, }
Name: Liferay Frontend Taglib Clay Sample Web (2) {OSGi System Bundle, Liferay Frontend Taglib Clay, }
Name: Liferay Calendar API (2) {OSGi System Bundle, Liferay Calendar API, }
Name: Liferay Quick Note Web (2) {OSGi System Bundle, Liferay Portal Upgrade API, }
Name: Liferay Roles Item Selector API (2) {OSGi System Bundle, Liferay Item Selector API, }
Name: Liferay Portal Store File System (2) {OSGi System Bundle, Liferay Portal Configuration Metatype API, }
Name: Liferay Mentions API (2) {OSGi System Bundle, Liferay Portal Configuration Metatype API, }
Name: Liferay Product Navigation Product Menu API (2) {OSGi System Bundle, Liferay Application List API, }
Name: Liferay Social Bookmark Plusone (2) {OSGi System Bundle, Liferay Social Bookmarks API, }
Name: Liferay Frontend Taglib Chart Sample Web (2) {OSGi System Bundle, Liferay Frontend Taglib Chart, }
Name: Liferay Portal Scripting Python (2) {OSGi System Bundle, Liferay Portal Scripting API, }
Name: Console plug-in (2) {OSGi System Bundle, Apache Felix Gogo Runtime, }
Name: Liferay Reading Time API (2) {OSGi System Bundle, Liferay Reading Time API, }
Name: Liferay Social Bookmark Twitter (2) {OSGi System Bundle, Liferay Social Bookmarks API, }
Name: Liferay Frontend Image Editor Capability Effects (2) {OSGi System Bundle, Liferay Frontend Image Editor API, }
Name: Liferay Portal Rules Engine API (2) {OSGi System Bundle, Liferay OSGi Utilities, }
Name: Liferay Users Admin UAD (2) {OSGi System Bundle, Liferay User Associated Data API, }
Name: Liferay Portal OSGi Debug Implementation (2) {OSGi System Bundle, Liferay Portal OSGi Debug API, }
Name: Liferay Adaptive Media Item Selector Upload Web (2) {Liferay Item Selector API, Liferay Adaptive Media Image Item Selector API, }
Name: Liferay Dynamic Data Mapping Type Grid (2) {OSGi System Bundle, Liferay Dynamic Data Mapping API, }
Name: Liferay Contacts API (2) {OSGi System Bundle, Liferay Contacts API, }
Name: Apache Felix Dependency Manager (2) {OSGi System Bundle, org.osgi:org.osgi.service.metatype, }
Name: Liferay Frontend Image Editor Capability Resize (2) {OSGi System Bundle, Liferay Frontend Image Editor API, }
Name: Liferay Frontend Image Editor Capability Rotate (2) {OSGi System Bundle, Liferay Frontend Image Editor API, }
Name: Liferay Invitation Invite Members API (2) {OSGi System Bundle, Liferay Invitation Invite Members API, }
Name: Liferay Adaptive Media Image Web (2) {OSGi System Bundle, Liferay Adaptive Media Image API, }
Name: Liferay Commerce Application List (2) {OSGi System Bundle, Liferay Application List API, }
Name: Liferay Product Navigation Control Panel (2) {OSGi System Bundle, Liferay Application List API, }
Name: Liferay Portal Target Platform Indexer Implementation (2) {OSGi System Bundle, Liferay Portal Target Platform Indexer API, }
Name: Liferay Portal Apio API (2) {OSGi System Bundle, Liferay Apio Architect API, }
Name: Liferay Wiki Engine HTML (2) {OSGi System Bundle, Liferay Wiki API, }
